Rating,Date
8.3,05/11/2014
8.4,16/07/2008
7.7,16/07/2012
8.2,19/10/2006
8.2,11/10/2000
7.2,02/04/1999
6.7,01/01/1997
0,16/04/2021
0,02/10/2016
