Rating,Date
8.7,14/03/1972
7.1,20/09/1972
7,17/07/1974
6.1,26/06/1975
6.2,04/01/1974
6.5,01/01/1965
5.4,23/01/1976
4.2,18/11/1964
7.1,13/11/1975
7.3,31/03/1967
5.3,27/10/1971
5.7,21/12/1973
5.7,01/11/1972
5,14/11/1973
