target,budget,actorAv0,actorAv1,actorAv2,actorAv3,actorAv4,actorAv5,actorAv6,actorAv7,actorAv8,actorAv9,actorPo0,actorPo1,actorPo2,actorPo3,actorPo4,actorPo5,actorPo6,actorPo7,actorPo8,actorPo9,crewAv0,crewAv1,crewAv2,crewAv3,crewAv4,crewAv5,crewAv6,crewPo0,crewPo1,crewPo2,crewPo3,crewPo4,crewPo5,crewPo6
61,110000000,5.039285714285714,5.951999999999999,5.573214285714288,5.957894736842104,5.086274509803921,6.386363636363637,5.5703703703703695,4.828260869565218,6.456521739130434,6.547619047619047,4.609,9.498,11.671,2.2,4.242,6.818,3.421,0.949,1.56,0.65,3.8000000000000003,6.647999999999997,6.241176470588234,3.8000000000000003,3.8000000000000003,3.8000000000000003,3.8000000000000003,0.65,9.264,1.588,0.65,0.65,0.65,0.65
55,12000000,5.888461538461537,5.5,5.5,3.152941176470588,5.842105263157895,5.676666666666668,5.711764705882353,5.336842105263158,5.9399999999999995,5.888461538461537,2.678,0.755,1.22,1.4,9.595,2.122,3.156,1.4,1.666,2.678,4.812000000000001,5.7823529411764705,4.812000000000001,5.576470588235295,4.812000000000001,4.812000000000001,4.812000000000001,1.631,0.6,1.631,1.145,1.631,1.631,1.631
61,175000000,6.090217391304347,4.89125,5.359523809523809,5.353763440860217,5.982608695652174,5.322727272727271,6.22,5.699999999999999,6.1,6.1,18.879,6.764,3.193,2.541,2.143,3.409,0.644,1.586,0.6,0.652,6.339999999999999,6.433333333333332,6.176190476190477,6.339999999999999,6.339999999999999,6.339999999999999,6.339999999999999,1.052,5.003,2.262,1.052,1.052,1.052,1.052
72,7500000,5.371739130434783,5.625531914893616,6.1448275862068975,5.658333333333334,6.600000000000001,6.1400000000000015,5.9857142857142875,6.562500000000002,6.733333333333334,5.894117647058825,6.087,6.029,7.92,1.921,3.778,4.868,1.482,2.037,5.837,1.502,7.200000000000002,5.84406779661017,4.320000000000001,6.600000000000002,6.600000000000002,7.200000000000002,7.200000000000002,2.569,0.98,0.84,1.646,1.4,2.569,2.569
63,150000000,6.109459459459459,6.449999999999999,5.933333333333334,7.0,6.019047619047618,5.552272727272727,6.584999999999999,6.078947368421052,5.392857142857143,5.147826086956521,15.424,6.256,2.327,3.25,5.726,7.245,2.227,2.745,1.656,3.326,6.293877551020408,5.977464788732394,6.293877551020408,6.293877551020408,6.293877551020408,6.293877551020408,6.293877551020408,6.094,1.401,6.094,6.094,6.094,6.094,6.094
83,0,5.595312500000001,6.355882352941175,5.905263157894737,6.1322580645161295,8.179999999999998,5.224,5.7225806451612895,6.742105263157893,7.379999999999998,8.299999999999999,3.226,5.058,1.64,2.333,1.052,2.147,0.6,1.166,0.6,1.4,7.3125,5.2056179775280915,7.3125,6.992307692307692,6.648780487804877,7.6,7.3125,1.648,1.537,1.648,1.4,1.646,0.706,1.648
70,41000000,4.42,6.4709677419354845,6.256756756756756,5.770731707317073,5.444827586206896,6.855555555555556,7.0,7.0,5.6,4.2,1.624,1.808,5.235,4.824,5.788,1.621,2.726,0.98,1.4,1.975,6.213333333333334,6.213333333333334,6.213333333333334,6.213333333333334,6.213333333333334,6.213333333333334,6.213333333333334,1.216,1.216,1.216,1.216,1.216,1.216,1.216
68,30000000,5.5035460992907765,4.959821428571431,6.431666666666668,5.866666666666665,6.447916666666667,5.951351351351351,6.09344262295082,5.2383333333333315,5.6647058823529415,4.879999999999999,5.721,3.174,4.724,4.559,12.471,3.066,6.09,0.982,3.086,0.61,6.805882352941175,6.4121951219512185,6.184,6.724999999999999,6.805882352941175,6.805882352941175,6.805882352941175,1.4,0.716,0.6,0.6,1.4,1.4,1.4
71,4000000,6.400877192982458,6.074358974358974,6.232432432432433,6.659999999999998,5.678947368421052,4.653571428571429,6.1000000000000005,5.733333333333333,5.598461538461538,7.099999999999999,18.685,3.944,5.519,1.216,1.958,1.673,4.549,2.218,1.678,0.6,6.956249999999998,6.956249999999998,6.699999999999998,6.699999999999998,6.956249999999998,6.956249999999998,6.956249999999998,1.081,0.6,0.6,1.4,1.081,1.081,1.081
78,60000000,6.352777777777778,6.254237288135593,6.978378378378378,5.418965517241377,6.791666666666667,6.286206896551725,6.037931034482758,6.668000000000001,6.958823529411763,5.336842105263157,10.261,7.514,12.471,5.721,4.293,2.073,2.575,3.055,2.495,3.303,6.166666666666665,6.153684210526314,6.622727272727272,7.799999999999998,6.166666666666665,6.166666666666665,6.166666666666665,4.632,1.614,1.96,1.4,4.632,4.632,4.632
75,75000000,4.904347826086957,6.5600000000000005,6.643750000000002,7.500000000000002,5.738372093023255,5.95576923076923,6.083333333333334,4.4399999999999995,6.561111111111111,4.840397350993378,3.94,0.98,2.825,1.4,3.262,3.506,2.127,0.6,1.532,3.221,6.7210526315789485,6.0583333333333345,6.7210526315789485,6.7210526315789485,6.7210526315789485,6.7210526315789485,6.7210526315789485,1.107,0.98,1.107,1.107,1.107,1.107,1.107
