Rating,Date
7.8,24/05/1989
7.9,25/12/2002
7.3,23/03/1990
4.3,15/05/1987
4.5,01/01/1994
5.2,09/02/1990
5.4,30/05/1986
7.1,10/07/2015
5.3,14/02/2015
5.3,04/11/1989
5.3,11/12/2011
4.7,30/01/2005
5.7,29/01/2007
4,01/01/2000
6,15/09/1998
0,17/01/2001
3.7,23/11/1979
2,18/07/1995
4.8,12/03/1998
7,31/12/2018
0,11/04/2011
6,19/05/1993
2,04/07/2008
10,11/03/1991
5,24/09/1990
7,24/04/2012
2,01/01/1986
0,08/07/1979
8,01/11/1987
